run_id	status	model	sequence_column	seed	data	checkpoint	metrics	interpretation
stage1_shift420_exprmatched_seed1	completed_full_test	MatchedExpressionBaseline	sequence	1	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_exprmatched_seed1/checkpoints/best_model.safetensors	outputs/stage1_shift420_exprmatched_seed1/test/test_metrics.json	current_stage1_shift420_expression_matched_baseline
stage1_shift420_exprmatched_seed7	completed_full_test	MatchedExpressionBaseline	sequence	7	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_exprmatched_seed7/checkpoints/best_model.safetensors	outputs/stage1_shift420_exprmatched_seed7/test/test_metrics.json	current_stage1_shift420_expression_matched_baseline
stage1_shift420_exprmatched_seed42	completed_full_test	MatchedExpressionBaseline	sequence	42	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_exprmatched_seed42/checkpoints/best_model.safetensors	outputs/stage1_shift420_exprmatched_seed42/test/test_metrics.json	current_stage1_shift420_expression_matched_baseline
stage1_shift420_promoter_seed1	completed_full_test	CNNFlattenPromoterModel	sequence	1	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_promoter_seed1/checkpoints/best_model.safetensors	outputs/stage1_shift420_promoter_seed1/test/test_metrics.json	current_stage1_shift420_real_promoter
stage1_shift420_promoter_seed7	completed_full_test	CNNFlattenPromoterModel	sequence	7	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_promoter_seed7/checkpoints/best_model.safetensors	outputs/stage1_shift420_promoter_seed7/test/test_metrics.json	current_stage1_shift420_real_promoter
stage1_shift420_promoter_seed42	completed_full_test	CNNFlattenPromoterModel	sequence	42	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_promoter_seed42/checkpoints/best_model.safetensors	outputs/stage1_shift420_promoter_seed42/test/test_metrics.json	current_stage1_shift420_real_promoter
stage1_shift420_intergenic_seed1	completed_full_test	CNNFlattenPromoterModel	control_sequence	1	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_intergenic_seed1/checkpoints/best_model.safetensors	outputs/stage1_shift420_intergenic_seed1/test/test_metrics.json	current_stage1_shift420_matched_intergenic_control
stage1_shift420_intergenic_seed7	completed_full_test	CNNFlattenPromoterModel	control_sequence	7	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_intergenic_seed7/checkpoints/best_model.safetensors	outputs/stage1_shift420_intergenic_seed7/test/test_metrics.json	current_stage1_shift420_matched_intergenic_control
stage1_shift420_intergenic_seed42	completed_full_test	CNNFlattenPromoterModel	control_sequence	42	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_intergenic_seed42/checkpoints/best_model.safetensors	outputs/stage1_shift420_intergenic_seed42/test/test_metrics.json	current_stage1_shift420_matched_intergenic_control
stage1_shift420_combined_fixedlr_seed7	trained_test_pending_gpu_reset	CNNFlattenPromoterModel	sequence	7	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_combined_fixedlr_seed7/checkpoints/best_model.safetensors	pending	fixed_lr_5e-4_combined_loss_ema_0.9999_scheduler_ablation
stage1_shift420_combined_seed7	completed_full_test	CNNFlattenPromoterModel	sequence	7	data/promoter_stage1_v1	/home/jovyan/cluster_test/expression/outputs/stage1_shift420_combined_seed7/checkpoints/best_model.safetensors	outputs/stage1_shift420_combined_seed7/test/test_metrics.json	cosine_combined_loss_ema_0.9999_reference
